,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
162,MNE,3.10000005928039,1.09983870937067,1.9039367333292,2.48265922878484,4.42605071745102,4.18060450885476,8.56641802964207,6.81015012526991,7.22275259212526,-5.79509699477244,2.73433108233829,3.22845102061061,-2.72379077130623,3.54897991245058,1.78369858106701,3.39038139712073,2.94928032097511,4.71646527572034,5.0778888113381,4.06294499167197
176,NLD,4.21975373727024,2.32357563856982,0.245785859471141,0.0978322478940328,2.0163100164134,2.03396324858144,3.53737521855268,3.88530650838888,2.11681586191865,-3.66529044506595,1.31932023296244,1.77334520657246,-0.977877008513829,-0.0302324516552943,1.61261007449123,2.12060522421717,2.42428576536633,2.7815460987956,2.25874039624952,2.30009159476197
177,NOR,3.31894567098156,2.06713046054618,1.37755700146496,0.944909391118713,4.01458801709728,2.68512289082248,2.46147313370328,2.91403998607174,0.481919541231974,-1.94036469505112,0.787051845495441,1.10565602733728,2.71795926678982,1.01619082409272,2.04813199855084,1.85733972643303,1.16472423497285,2.46374628510146,0.828900664137592,1.12377787436797
190,POL,4.65633252988236,1.23374464400356,1.90119437968586,3.52337117234833,5.09079546409544,3.26082274679216,6.20210710934373,6.7604478527626,4.38377069274605,2.61512859291683,3.16892748258036,5.25546256612796,1.51178167644575,0.684240607051805,3.92050862390032,4.43176700264478,3.03117767594847,5.15245773325907,6.2458584723942,4.58045817256199
194,PRT,3.81617756423182,1.94367215368429,0.770924879289495,-0.930521086276485,1.78873565956201,0.781847757598996,1.62503463813644,2.50657971505967,0.319247162435317,-3.12207812290546,1.73762451045437,-1.71352750320345,-4.05090261868355,-0.984106758103536,0.741391470583679,1.58979828893855,2.00414109360487,3.31472078233416,2.94628241620853,2.74568471619554
201,ROU,2.46121646882141,5.21818451151151,5.70299165043771,2.34114732919521,10.4281130180976,4.6681480508487,8.02881107599163,7.23380774362805,9.30746717077338,-5.51670615843011,-3.90581157302972,4.49558909946313,1.90361696799603,0.278771877470234,4.11600109267832,3.1570360543854,2.85993252302089,8.19547826641261,6.120930007146,3.92326384963494
202,RUS,10.0000668136515,5.10005122572568,4.69999190914258,7.29995234528189,7.19994786954857,6.39996544799469,8.20006825456321,8.49997776916511,5.19996926404957,-7.79999391271275,4.49999999920672,4.30002918567749,4.02408615746921,1.75542214874298,0.736267221765672,-1.97271922580408,0.193690071260534,1.82579006401834,2.80724541059601,2.19807571335009
212,SMR,2.17937971500419,5.57834290401968,0.310800310800303,3.87296669248644,4.5488441461596,2.42510699001426,3.83008356545962,7.10932260228034,-0.500939261114581,-10.3209565764632,-5.47368421052632,-8.3147735708983,-7.04453441295546,-0.78397212543554,-0.702370500438988,2.29150556129265,2.34440586055426,0.258265466328027,1.49390531817373,2.06568514732739
214,SRB,6.05509225799881,6.77851908946397,6.54104819665429,4.55968951215699,6.68686771336695,5.90349798339875,3.90066385503751,7.83207166337402,5.16089277292242,-3.14261046499367,1.61097266144839,0.0542724785839397,-0.443956029497713,0.451578762944706,-1.80427024822048,1.29573851189748,2.97519779211943,2.36339378690924,4.64935035491007,4.75020793899014
221,SVK,0.789225596183911,2.92515903371795,4.41725391613221,4.85669820233045,5.38949898648073,6.48493201622816,8.92568695741896,10.818631131365,5.36337695604814,-5.50533842350008,6.79058214015053,2.56242455855089,1.56917115628399,0.703323634738325,2.70795062355194,5.1768795103709,1.94781902582312,2.87473225538896,4.06212036983018,2.27589918160336
