Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Frans Maassen,1972,2728,2657,192,24,,,Netherlands
Frans Melckenbeeck,191,202,3265,50,23,,,Belgium
Fred De Bruyne,1275,704,3462,437,26,68,170,Belgium
Freddy Maertens,3754,4358,11434,1244,24,65,174,Belgium
Frédéric Moncassin,373,241,5254,212,28,73,182,France
Frédéric Vichot,1288,229,1448,458,26,,,France
Frits Pirard,414,241,1464,114,29,,,Netherlands
Fritz Schär,2682,1262,3514,577,27,,,Switzerland
Gaston Rebry,1343,62,3424,371,26,75,170,Belgium
Gastone Nencini,3459,2110,4304,1042,27,,,Italy
Georg Totschnig,3743,1396,764,1726,34,62,175,Austria
George Hincapie,1980,3508,4596,658,32,83,191,US
Georges Chappe,485,276,1019,220,24,,,France
Georges Decaux,194,8,252,27,22,,,France
Georges Meunier,1020,389,801,501,28,,,France
Georges Passerieu,1020,0,738,1516,21,,166,France
Georges Paulmier,892,0,1369,352,21,,,France
Georges Pintens,1578,1008,2522,1247,22,,,Belgium
Georges Ronsse,440,0,2320,91,23,,,Belgium
Georges Speicher,1786,597,4085,148,27,73,176,France
Georges Vandenberghe,546,40,2886,989,25,,,Belgium
Geraint Thomas,6101,5263,909,3820,32,71,183,Great Britain
Gérard Loncke,50,140,1096,0,27,,,Belgium
Gerard Vianen,585,427,2996,306,30,,,Netherlands
Gerben Karstens,1059,1531,9616,1049,34,74,178,Netherlands
Germain Derycke,560,46,2504,386,22,70,170,Belgium
Gerrie Knetemann,4575,10170,3554,734,28,,,Netherlands
Gerrit Schulte,592,308,1372,35,22,,,Netherlands
Gerrit Solleveld,658,895,444,168,29,93,183,Netherlands
Gerrit Voorting,1473,472,2405,330,35,,,Netherlands
Gert Steegmans,735,279,3134,40,28,82,190,Belgium
Gert-Jan Theunisse,2156,280,1253,1664,36,,,Netherlands
Giacinto Santambrogio,746,175,1585,430,32,,,Italy
Giampaolo Mondini,266,62,882,97,27,,,Italy
Gianluca Bortolami,1081,939,3858,390,26,73,181,Italy
Gianni Bugno,4188,3883,4774,1924,26,68,177,Italy
Gilbert Bauvin,2077,874,3407,1074,30,,,France
Gilbert Bellone,1353,1134,1576,420,26,,,France
Gilbert Glaus,300,863,2114,154,28,67,174,Switzerland
Gilberto Simoni,4508,1052,1442,4482,32,59,170,Italy
Gilles Delion,1109,52,1266,538,26,,,France
Gino Bartali,7282,2147,9259,3754,34,,,Italy
Gino Sciardis,594,160,1119,392,33,,,France
Giovanni Battaglin,3694,2056,3710,990,25,,,Italy
Giovanni Brunero,4013,2180,50,4077,29,,,Italy
Giovanni Corrieri,687,422,2310,148,28,,,Italy
Giovanni Fidanza,354,164,2888,164,24,,,Italy
Giovanni Micheletto,50,0,922,90,24,,,Italy
Giuseppe Fezzardi,1217,142,665,213,26,,,Italy
